show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s621,TV Show,Blindspotting,,,,"June 13, 2021",2021,TV-MA,1 Season,"Comedy, Drama","“Blindspotting” centers on Ashley, who is nipping at the heels of a middle-class life in Oakland until Miles, her partner of 12 years and father of their son, is suddenly incarcerated, leaving her to navigate a chaotic and humorous existential crisis when she is forced to move in with Miles’ mother and half-sister. The series stars Jasmine Cephas Jones as “Ashley”; Benjamin Turner as “Earl,” who is fresh out of prison, wearing an ankle monitor and just trying to kill time and lay low; Candace Nicholas-Lippman as “Janelle,” Ashley’s close friend who’s just returned to the neighborhood after spending many years in Bali; Jaylen Barron as “Trish,” Miles’ half-sister, Atticus Woodward as “Sean,” Ashley and Miles’ sweet, smart and energetic son; Helen Hunt as “Rainey,” Miles’ mother who has strong opinions; and Rafael Casal who reprises his role as “Miles,” Ashley’s ride-or-die partner and father of their son."
s622,Movie,Willy's Wonderland,,,,"June 13, 2021",2021,,89 min,"Action, Horror","A loner (Nic Cage) wages war against possessed animatronic mascots while trapped inside Willy's Wonderland, an abandoned family fun center."
s623,Movie,UFC 263,,,,"June 12, 2021",2021,,,Sports,UFC 263: Adesanya vs. Vettori 2
s624,Movie,Come True,,,,"June 11, 2021",2020,,105 min,"Horror, Science Fiction","Looking for an escape from her recurring nightmares, 18-year-old Sarah submits to a university sleep study, but soon realizes she's become the conduit to a frightening new discovery."
s625,TV Show,"Love, Victor",,,United States,"June 11, 2021",2020,TV-14,2 Seasons,"Drama, LGBTQ+, Latino","Set in the world of the original 2018 film “Love, Simon,” the series follows Victor, a new student at Creekwood High School on his own journey of self-discovery, facing challenges at home, adjusting to a new city, and struggling with his sexual orientation. When it all seems too much, he reaches out to Simon to help him navigate the ups and downs of high school."
s626,TV Show,Pride on ABC News Live,,,,"June 11, 2021",2021,,1 Season,News,"“PRIDE on ABC News Live” will take audiences on a dive deep into current events affecting the LGBTQ, including guest interviews and insightful conversation from within the LGBTQ community and its allies."
s627,TV Show,The Real Housewives of Potomac,,,United States,"June 11, 2021",2016,TV-14,5 Seasons,"Black Stories, Reality","Throughout Potomac, Maryland are a handful of old-line, wealthy African-American families who have historically broken racial barriers to provide the best life possible for their children."
s628,Movie,The Real Rebel: The Erin Brockovich Story,,,,"June 11, 2021",2021,,,News,"You’ve seen the movie. You’ve seen the TV series. Now, hear Erin Brockovich tell the real story."
s629,TV Show,House Rules,,,,"June 10, 2021",2020,,1 Season,Reality,"Eight couples put their most important possession – their homes – on the line, for a huge, life-changing cash prize. In Season Eight, the couples’ first task is to renovate a penthouse apartment, following five house rules created by the judges. Over two sets of rounds, two couples are eliminated. The six remaining couples then travel around the country to completely renovate each other’s homes. Every week, one couple hands over the keys of their home to their competitors, to transform every room in their house in seven days – in any way they want. renovation in seven days. Each homeowner issues their own set of ‘House Rules’ – a list of do’s and don’ts. But rules are meant to be broken! How far can each team go to transform their homes? Will the teams return to a dream house or to their worst nightmare? A group of home professionals – British design star Laurence Llewelyn-Bowen, interior designer Kyly Clarke and home builder Saul Myers – and the homeowners judge the results."
s630,TV Show,MasterChef,,,United States,"June 10, 2021",2010,TV-PG,11 Seasons,"Cooking & Food, Family, Lifestyle & Culture","A culinary competition series that searches for the best home cooks in America, and through a series of exciting elimination rounds, will turn one of them into a culinary master."
s631,TV Show,Sarah Beeny's Renovate Don't Relocate,,,,"June 10, 2021",2019,,1 Season,"International, Reality","Expert developer and TV host Sarah Beeny comes to the aid of homeowners living in a property that no longer works for them. From newlyweds and new parents, to people who work from home, she shows them how a little design know-how can improve their lifestyle, save them money and prevent them having to move home."
s632,TV Show,The Great House Revival,,,,"June 10, 2021",2018,,2 Seasons,"Lifestyle & Culture, Reality","Presented by architect Hugh Wallace, this charming series follows six homeowners in Ireland as they try to restore and transform their derelict properties into comfortable homes fit for the 21st century – while saving a piece of the country’s architectural heritage."
